📺央视频道,#genre#
龍華經典台,http://nmk.ioapk.com:5050/litv-longturn21/index.m3u8?proxy=true
龍華電影台,http://nmk.ioapk.com:5050/litv-longturn03/index.m3u8?proxy=true
靖洋戲劇台,http://nmk.ioapk.com:5050/4gtv-4gtv045/index.m3u8?proxy=true
TVBS台劇台,http://nmk.ioapk.com:5050/4gtv-live088/index.m3u8?proxy=true$无
影迷數位紀實台,http://nmk.ioapk.com:5050/4gtv-live023/index.m3u8?proxy=true$无
影迷數位電影台,http://nmk.ioapk.com:5050/4gtv-4gtv011/index.m3u8?proxy=true
AMC最愛電影,http://nmk.ioapk.com:5050/4gtv-4gtv017/index.m3u8?proxy=true
CatchPlay電影台,http://nmk.ioapk.com:5050/4gtv-4gtv076/index.m3u8?proxy=true
MyCinemaEuropeHD我的歐洲電影,http://nmk.ioapk.com:5050/4gtv-live157/index.m3u8?proxy=true$无
公視戲劇台,http://nmk.ioapk.com:5050/4gtv-4gtv042/index.m3u8?proxy=true
采昌影劇台,http://nmk.ioapk.com:5050/4gtv-4gtv049/index.m3u8?proxy=true
台灣戲劇台,http://nmk.ioapk.com:5050/litv-longturn22/index.m3u8?proxy=true
戲劇免費看1台,http://nmk.ioapk.com:5050/4gtv-live010/index.m3u8?proxy=true$无
戲劇免費看2台,http://nmk.ioapk.com:5050/4gtv-live006/index.m3u8?proxy=true$无
經典電影台,http://nmk.ioapk.com:5050/4gtv-live021/index.m3u8?proxy=true$无
電影免費看2台,http://nmk.ioapk.com:5050/4gtv-live005/index.m3u8?proxy=true$无
電影原聲台CMusic,http://nmk.ioapk.com:5050/4gtv-live031/index.m3u8?proxy=true$无
花系列經典劇場,http://nmk.ioapk.com:5050/4gtv-live016/index.m3u8?proxy=true$无
CinemaWorld,http://nmk.ioapk.com:5050/4gtv-live069/index.m3u8?proxy=true$无
HITS頻道,http://nmk.ioapk.com:5050/4gtv-live620/index.m3u8?proxy=true$无
RockAction,http://nmk.ioapk.com:5050/4gtv-live138/index.m3u8?proxy=true$无
RockEntertainment,http://nmk.ioapk.com:5050/4gtv-live080/index.m3u8?proxy=true$无
金光布袋戲,http://nmk.ioapk.com:5050/4gtv-live144/index.m3u8?proxy=true$无
霹靂布袋戲,http://nmk.ioapk.com:5050/4gtv/301/index.m3u8?proxy=true$无
BloombergTV,http://nmk.ioapk.com:5050/4gtv-live059/index.m3u8?proxy=true
